EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 20-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, HELGOLAND (STAID: 468).
Blended and updated with sources: 102176 910015 
See file sources.txt and stations.txt for more info.

SOUID,DATE,PP,Q_PP
102176,19530113,10309,    0
102176,19530114,10258,    0
102176,19530115,10177,    0
102176,19530116,10194,    0
102176,19530117,10249,    0
102176,19530118,10260,    0
102176,19530119,10282,    0
102176,19530120,10295,    0
102176,19530121,10246,    0
102176,19530122,10209,    0
102176,19530123,10189,    0
102176,19530124,10107,    0
102176,19530125,10099,    0
102176,19530126,10212,    0
102176,19530127,10048,    0
102176,19530128,10060,    0
102176,19530129,10126,    0
102176,19530130,10154,    0
102176,19530131, 9829,    0
102176,19530201, 9948,    0
102176,19530202,10160,    0
102176,19530203,10300,    0
102176,19530204,10086,    0
102176,19530205,10048,    0
102176,19530206,10097,    0
102176,19530207,10153,    0
102176,19530208,10138,    0
102176,19530209, 9957,    0
102176,19530210, 9813,    0
102176,19530211, 9884,    0
102176,19530212,10064,    0
102176,19530213,10201,    0
102176,19530214,10213,    0
102176,19530215,10249,    0
102176,19530216,10234,    0
102176,19530217,10127,    0
102176,19530218,10119,    0
102176,19530219,10110,    0
102176,19530220,10155,    0
102176,19530221,10146,    0
102176,19530222,10194,    0
102176,19530223,10158,    0
102176,19530224,10226,    0
102176,19530225,10302,    0
102176,19530226,10340,    0
102176,19530227,10339,    0
102176,19530228,10404,    0
102176,19530301,10382,    0
102176,19530302,10350,    0
102176,19530303,10331,    0
102176,19530304,10301,    0
102176,19530305,10358,    0
102176,19530306,10320,    0
102176,19530307,10232,    0
102176,19530308,10341,    0
102176,19530309,10342,    0
102176,19530310,10365,    0
102176,19530311,10231,    0
102176,19530312,10308,    0
102176,19530313,10366,    0
102176,19530314,10389,    0
102176,19530315,10324,    0
102176,19530316,10245,    0
102176,19530317,10244,    0
102176,19530318,10249,    0
102176,19530319,10262,    0
102176,19530320,10281,    0
102176,19530321,10310,    0
102176,19530322,10318,    0
102176,19530323,10342,    0
102176,19530324,10354,    0
102176,19530325,10329,    0
102176,19530326,10171,    0
102176,19530327,10167,    0
102176,19530328,10102,    0
102176,19530329,10054,    0
102176,19530330, 9987,    0
102176,19530331,10057,    0
102176,19530401,10110,    0
102176,19530402,10092,    0
102176,19530403,10058,    0
102176,19530404,10038,    0
102176,19530405,10096,    0
102176,19530406,10063,    0
102176,19530407,10114,    0
102176,19530408,10152,    0
102176,19530409,10094,    0
102176,19530410,10214,    0
102176,19530411,10213,    0
102176,19530412,10100,    0
102176,19530413,10116,    0
102176,19530414,10160,    0
102176,19530415,10167,    0
102176,19530416,10180,    0
102176,19530417,10192,    0
102176,19530418,10220,    0
102176,19530419,10236,    0
102176,19530420,10262,    0
102176,19530421,10233,    0
102176,19530422,10211,    0
102176,19530423,10174,    0
102176,19530424,10125,    0
102176,19530425,10126,    0
102176,19530426,10122,    0
102176,19530427, 9992,    0
102176,19530428, 9967,    0
102176,19530429,10062,    0
102176,19530430,10134,    0
102176,19530501,10165,    0
102176,19530502,10241,    0
102176,19530503,10264,    0
102176,19530504,10247,    0
102176,19530505,10194,    0
102176,19530506,10121,    0
102176,19530507,10200,    0
102176,19530508,10190,    0
102176,19530509,10116,    0
102176,19530510,10157,    0
102176,19530511,10113,    0
102176,19530512,10088,    0
102176,19530513,10083,    0
102176,19530514,10074,    0
102176,19530515,10102,    0
102176,19530516,10098,    0
102176,19530517,10162,    0
102176,19530518,10218,    0
102176,19530519,10179,    0
102176,19530520,10234,    0
102176,19530521,10195,    0
102176,19530522,10170,    0
102176,19530523,10187,    0
102176,19530524,10240,    0
102176,19530525,10267,    0
102176,19530526,10186,    0
102176,19530527,10122,    0
102176,19530528,10195,    0
102176,19530529,10142,    0
102176,19530530,10034,    0
102176,19530531,10044,    0
102176,19530601, 9982,    0
102176,19530602, 9955,    0
102176,19530603,10001,    0
102176,19530604,10054,    0
102176,19530605,10138,    0
102176,19530606,10194,    0
102176,19530607,10192,    0
102176,19530608,10160,    0
102176,19530609,10114,    0
102176,19530610,10065,    0
102176,19530611,10084,    0
102176,19530612,10132,    0
102176,19530613,10128,    0
102176,19530614,10108,    0
102176,19530615,10076,    0
102176,19530616,10091,    0
102176,19530617,10106,    0
102176,19530618,10108,    0
102176,19530619,10136,    0
102176,19530620,10150,    0
102176,19530621,10161,    0
102176,19530622,10159,    0
102176,19530623,10181,    0
102176,19530624,10166,    0
102176,19530625,10157,    0
102176,19530626,10132,    0
102176,19530627,10149,    0
102176,19530628,10208,    0
102176,19530629,10197,    0
102176,19530630,10160,    0
102176,19530701,10138,    0
102176,19530702,10118,    0
102176,19530703,10135,    0
102176,19530704,10162,    0
102176,19530705,10150,    0
102176,19530706,10094,    0
102176,19530707,10076,    0
102176,19530708,10084,    0
102176,19530709,10086,    0
102176,19530710,10124,    0
102176,19530711,10156,    0
102176,19530712,10070,    0
102176,19530713, 9978,    0
102176,19530714,10027,    0
102176,19530715,10064,    0
102176,19530716,10123,    0
102176,19530717,10103,    0
102176,19530718,10119,    0
102176,19530719,10162,    0
102176,19530720,10186,    0
102176,19530721,10142,    0
102176,19530722,10064,    0
102176,19530723,10099,    0
102176,19530724,10181,    0
102176,19530725,10155,    0
102176,19530726,10106,    0
102176,19530727,10066,    0
102176,19530728,10063,    0
102176,19530729,10104,    0
102176,19530730,10085,    0
102176,19530731,10086,    0
102176,19530801,10121,    0
102176,19530802,10124,    0
102176,19530803,10185,    0
102176,19530804,10192,    0
102176,19530805,10163,    0
102176,19530806,10174,    0
102176,19530807,10208,    0
102176,19530808,10213,    0
102176,19530809,10195,    0
102176,19530810,10179,    0
102176,19530811,10245,    0
102176,19530812,10202,    0
102176,19530813,10171,    0
102176,19530814,10199,    0
102176,19530815,10145,    0
102176,19530816,10140,    0
102176,19530817,10195,    0
102176,19530818,10134,    0
102176,19530819,10181,    0
102176,19530820,10088,    0
102176,19530821, 9980,    0
102176,19530822,10001,    0
102176,19530823,10118,    0
102176,19530824,10068,    0
102176,19530825,10052,    0
102176,19530826,10088,    0
102176,19530827,10162,    0
102176,19530828,10178,    0
102176,19530829,10141,    0
102176,19530830,10097,    0
102176,19530831,10155,    0
102176,19530901,10181,    0
102176,19530902,10086,    0
102176,19530903,10066,    0
102176,19530904,10175,    0
102176,19530905,10281,    0
102176,19530906,10350,    0
102176,19530907,10340,    0
102176,19530908,10217,    0
102176,19530909,10084,    0
102176,19530910,10038,    0
102176,19530911,10100,    0
102176,19530912,10068,    0
102176,19530913,10169,    0
102176,19530914,10194,    0
102176,19530915,10164,    0
102176,19530916,10158,    0
102176,19530917,10149,    0
102176,19530918,10114,    0
102176,19530919,10089,    0
102176,19530920,10038,    0
102176,19530921, 9993,    0
102176,19530922, 9966,    0
102176,19530923, 9977,    0
102176,19530924,10066,    0
102176,19530925,10123,    0
102176,19530926,10183,    0
102176,19530927,10136,    0
102176,19530928,10082,    0
102176,19530929,10197,    0
102176,19530930,10201,    0
102176,19531001,10222,    0
102176,19531002,10248,    0
102176,19531003,10188,    0
102176,19531004,10212,    0
102176,19531005,10260,    0
102176,19531006,10206,    0
102176,19531007,10193,    0
102176,19531008,10255,    0
102176,19531009,10256,    0
102176,19531010,10210,    0
102176,19531011,10192,    0
102176,19531012,10112,    0
102176,19531013,10056,    0
102176,19531014,10047,    0
102176,19531015,10109,    0
102176,19531016,10182,    0
102176,19531017,10217,    0
102176,19531018,10266,    0
102176,19531019,10291,    0
102176,19531020,10272,    0
102176,19531021,10244,    0
102176,19531022,10191,    0
102176,19531023,10150,    0
102176,19531024,10161,    0
102176,19531025,10135,    0
102176,19531026,10138,    0
102176,19531027,10088,    0
102176,19531028,10107,    0
102176,19531029,10149,    0
102176,19531030,10140,    0
102176,19531031,10116,    0
102176,19531101,10059,    0
102176,19531102, 9995,    0
102176,19531103,10080,    0
102176,19531104,10094,    0
102176,19531105,10169,    0
102176,19531106,10211,    0
102176,19531107,10193,    0
102176,19531108,10170,    0
102176,19531109,10124,    0
102176,19531110,10218,    0
102176,19531111,10200,    0
102176,19531112,10141,    0
102176,19531113,10176,    0
102176,19531114,10186,    0
102176,19531115,10271,    0
102176,19531116,10334,    0
102176,19531117,10323,    0
102176,19531118,10257,    0
102176,19531119,10241,    0
102176,19531120,10241,    0
102176,19531121,10247,    0
102176,19531122,10263,    0
102176,19531123,10287,    0
102176,19531124,10298,    0
102176,19531125,10288,    0
102176,19531126,10228,    0
102176,19531127,10187,    0
102176,19531128,10151,    0
102176,19531129,10105,    0
102176,19531130,10096,    0
102176,19531201,10206,    0
102176,19531202,10189,    0
102176,19531203,10115,    0
102176,19531204,10122,    0
102176,19531205,10268,    0
102176,19531206,10307,    0
102176,19531207,10259,    0
102176,19531208,10204,    0
102176,19531209,10213,    0
102176,19531210,10243,    0
102176,19531211,10306,    0
102176,19531212,10296,    0
102176,19531213,10270,    0
102176,19531214,10204,    0
102176,19531215,10196,    0
102176,19531216,10250,    0
102176,19531217,10245,    0
102176,19531218,10183,    0
102176,19531219,10142,    0
102176,19531220,10237,    0
102176,19531221,10247,    0
102176,19531222,10222,    0
102176,19531223,10179,    0
102176,19531224,10142,    0
102176,19531225,10130,    0
102176,19531226,10169,    0
102176,19531227,10088,    0
102176,19531228,10109,    0
102176,19531229,10175,    0
102176,19531230,10273,    0
102176,19531231,10266,    0
102176,19540101,10326,    0
102176,19540102,10279,    0
102176,19540103,10072,    0
102176,19540104,10186,    0
102176,19540105,10252,    0
102176,19540106,10151,    0
102176,19540107,10158,    0
102176,19540108,10253,    0
102176,19540109,10130,    0
102176,19540110,10086,    0
102176,19540111,10084,    0
102176,19540112,10105,    0
102176,19540113, 9986,    0
102176,19540114, 9876,    0
102176,19540115, 9876,    0
102176,19540116, 9983,    0
102176,19540117,10096,    0
102176,19540118,10275,    0
102176,19540119,10130,    0
102176,19540120,10062,    0
102176,19540121,10154,    0
102176,19540122,10318,    0
102176,19540123,10388,    0
102176,19540124,10348,    0
102176,19540125,10257,    0
102176,19540126,10250,    0
102176,19540127,10264,    0
102176,19540128,10160,    0
102176,19540129,10149,    0
102176,19540130,10221,    0
102176,19540131,10286,    0
102176,19540201,10304,    0
102176,19540202,10306,    0
102176,19540203,10324,    0
102176,19540204,10329,    0
102176,19540205,10266,    0
102176,19540206,10162,    0
102176,19540207,10033,    0
102176,19540208, 9989,    0
102176,19540209,10024,    0
102176,19540210,10030,    0
102176,19540211,10057,    0
102176,19540212,10110,    0
102176,19540213,10032,    0
102176,19540214,10068,    0
102176,19540215,10164,    0
102176,19540216,10238,    0
102176,19540217,10255,    0
102176,19540218,10185,    0
102176,19540219,10121,    0
102176,19540220,10200,    0
102176,19540221,10270,    0
102176,19540222,10258,    0
102176,19540223,10189,    0
102176,19540224,10115,    0
102176,19540225, 9980,    0
102176,19540226, 9890,    0
102176,19540227, 9926,    0
102176,19540228, 9977,    0
102176,19540301, 9972,    0
102176,19540302, 9974,    0
102176,19540303, 9852,    0
102176,19540304, 9784,    0
102176,19540305, 9867,    0
102176,19540306,10010,    0
102176,19540307, 9974,    0
102176,19540308,10034,    0
102176,19540309,10115,    0
102176,19540310,10147,    0
102176,19540311,10179,    0
102176,19540312,10212,    0
102176,19540313,10248,    0
102176,19540314,10226,    0
102176,19540315,10203,    0
102176,19540316,10182,    0
102176,19540317,10168,    0
102176,19540318,10146,    0
102176,19540319,10175,    0
102176,19540320,10134,    0
102176,19540321,10174,    0
102176,19540322,10123,    0
102176,19540323,10024,    0
102176,19540324,10052,    0
102176,19540325,10132,    0
102176,19540326,10090,    0
102176,19540327,10148,    0
102176,19540328,10124,    0
102176,19540329,10116,    0
102176,19540330,10039,    0
102176,19540331,10038,    0
102176,19540401,10016,    0
102176,19540402,10102,    0
102176,19540403,10098,    0
102176,19540404,10093,    0
102176,19540405,10160,    0
102176,19540406,10192,    0
102176,19540407,10270,    0
102176,19540408,10320,    0
102176,19540409,10330,    0
102176,19540410,10328,    0
102176,19540411,10280,    0
102176,19540412,10202,    0
102176,19540413,10186,    0
102176,19540414,10172,    0
102176,19540415,10132,    0
102176,19540416,10271,    0
102176,19540417,10318,    0
102176,19540418,10264,    0
102176,19540419,10196,    0
102176,19540420,10225,    0
102176,19540421,10221,    0
102176,19540422,10221,    0
102176,19540423,10211,    0
102176,19540424,10210,    0
102176,19540425,10198,    0
102176,19540426,10209,    0
102176,19540427,10191,    0
102176,19540428,10217,    0
102176,19540429,10154,    0
102176,19540430,10077,    0
102176,19540501,10040,    0
102176,19540502, 9990,    0
102176,19540503,10012,    0
102176,19540504,10042,    0
102176,19540505,10127,    0
102176,19540506,10126,    0
102176,19540507,10219,    0
102176,19540508,10265,    0
102176,19540509,10224,    0
102176,19540510,10226,    0
102176,19540511,10229,    0
102176,19540512,10240,    0
102176,19540513,10254,    0
102176,19540514,10230,    0
102176,19540515,10149,    0
102176,19540516,10120,    0
102176,19540517,10102,    0
102176,19540518,10132,    0
102176,19540519,10109,    0
102176,19540520,10094,    0
102176,19540521,10064,    0
102176,19540522,10122,    0
102176,19540523,10136,    0
102176,19540524,10157,    0
102176,19540525,10209,    0
102176,19540526,10222,    0
102176,19540527,10226,    0
102176,19540528,10206,    0
102176,19540529,10168,    0
102176,19540530,10141,    0
102176,19540531,10101,    0
102176,19540601,10103,    0
102176,19540602,10154,    0
102176,19540603,10198,    0
102176,19540604,10198,    0
102176,19540605,10144,    0
102176,19540606,10056,    0
102176,19540607,10079,    0
102176,19540608,10040,    0
102176,19540609,10022,    0
102176,19540610,10025,    0
102176,19540611,10085,    0
102176,19540612,10159,    0
102176,19540613,10093,    0
102176,19540614,10170,    0
102176,19540615,10233,    0
102176,19540616,10208,    0
102176,19540617,10221,    0
102176,19540618,10213,    0
102176,19540619,10181,    0
102176,19540620,10144,    0
102176,19540621,10146,    0
102176,19540622,10163,    0
102176,19540623,10140,    0
102176,19540624,10124,    0
102176,19540625,10057,    0
102176,19540626,10004,    0
102176,19540627,10016,    0
102176,19540628,10071,    0
102176,19540629,10184,    0
102176,19540630,10227,    0
102176,19540701,10160,    0
102176,19540702,10093,    0
102176,19540703,10056,    0
102176,19540704,10021,    0
102176,19540705,10076,    0
102176,19540706,10087,    0
102176,19540707,10138,    0
102176,19540708,10210,    0
102176,19540709,10198,    0
102176,19540710,10103,    0
102176,19540711,10013,    0
102176,19540712,10009,    0
102176,19540713,10107,    0
102176,19540714,10083,    0
102176,19540715,10084,    0
102176,19540716,10088,    0
102176,19540717, 9941,    0
102176,19540718, 9901,    0
102176,19540719,10108,    0
102176,19540720,10195,    0
102176,19540721,10146,    0
102176,19540722,10124,    0
102176,19540723,10157,    0
102176,19540724,10154,    0
102176,19540725,10110,    0
102176,19540726, 9993,    0
102176,19540727, 9964,    0
102176,19540728, 9965,    0
102176,19540729, 9984,    0
102176,19540730,10039,    0
102176,19540731,10086,    0
102176,19540801,10126,    0
102176,19540802,10119,    0
102176,19540803,10112,    0
102176,19540804,10090,    0
102176,19540805,10107,    0
102176,19540806,10031,    0
102176,19540807,10020,    0
102176,19540808,10000,    0
102176,19540809, 9975,    0
102176,19540810, 9920,    0
102176,19540811, 9990,    0
102176,19540812,10034,    0
102176,19540813,10034,    0
102176,19540814,10055,    0
102176,19540815,10051,    0
102176,19540816,10137,    0
102176,19540817,10190,    0
102176,19540818,10115,    0
102176,19540819,10100,    0
102176,19540820,10139,    0
102176,19540821,10141,    0
102176,19540822,10071,    0
102176,19540823, 9996,    0
102176,19540824,10011,    0
102176,19540825,10124,    0
102176,19540826,10206,    0
102176,19540827,10213,    0
102176,19540828,10200,    0
102176,19540829,10183,    0
102176,19540830,10144,    0
102176,19540831,10185,    0
102176,19540901,10182,    0
102176,19540902,10174,    0
102176,19540903,10183,    0
102176,19540904,10142,    0
102176,19540905,10144,    0
102176,19540906,10144,    0
102176,19540907,10152,    0
102176,19540908,10157,    0
102176,19540909,10104,    0
102176,19540910,10090,    0
102176,19540911,10025,    0
102176,19540912,10035,    0
102176,19540913,10108,    0
102176,19540914,10124,    0
102176,19540915,10071,    0
102176,19540916, 9988,    0
102176,19540917,10040,    0
102176,19540918,10106,    0
102176,19540919,10123,    0
102176,19540920,10037,    0
102176,19540921,10036,    0
102176,19540922,10065,    0
102176,19540923,10195,    0
102176,19540924,10071,    0
102176,19540925, 9969,    0
102176,19540926,10017,    0
102176,19540927,10095,    0
102176,19540928,10111,    0
102176,19540929,10074,    0
102176,19540930,10086,    0
102176,19541001,10157,    0
102176,19541002,10219,    0
102176,19541003,10209,    0
102176,19541004,10160,    0
102176,19541005,10187,    0
102176,19541006,10055,    0
102176,19541007,10207,    0
102176,19541008,10242,    0
102176,19541009,10222,    0
102176,19541010,10176,    0
102176,19541011,10188,    0
102176,19541012,10228,    0
102176,19541013,10199,    0
102176,19541014,10140,    0
102176,19541015,10112,    0
102176,19541016,10096,    0
102176,19541017,10165,    0
102176,19541018,10085,    0
102176,19541019, 9951,    0
102176,19541020,10043,    0
102176,19541021,10064,    0
102176,19541022,10002,    0
102176,19541023,10013,    0
102176,19541024, 9897,    0
102176,19541025, 9957,    0
102176,19541026,10098,    0
102176,19541027,10066,    0
102176,19541028,10145,    0
102176,19541029,10093,    0
102176,19541030,10053,    0
102176,19541031,10094,    0
102176,19541101,10177,    0
102176,19541102,10169,    0
102176,19541103,10063,    0
102176,19541104,10138,    0
102176,19541105,10136,    0
102176,19541106,10067,    0
102176,19541107,10106,    0
102176,19541108,10061,    0
102176,19541109, 9976,    0
102176,19541110,10105,    0
102176,19541111,10082,    0
102176,19541112,10050,    0
102176,19541113,10132,    0
102176,19541114,10142,    0
102176,19541115,10256,    0
102176,19541116,10311,    0
102176,19541117,10265,    0
102176,19541118,10251,    0
102176,19541119,10300,    0
102176,19541120,10299,    0
102176,19541121,10240,    0
102176,19541122,10160,    0
102176,19541123,10102,    0
102176,19541124,10061,    0
102176,19541125,10045,    0
102176,19541126,10024,    0
102176,19541127, 9990,    0
102176,19541128, 9969,    0
102176,19541129,10013,    0
102176,19541130, 9965,    0
102176,19541201,10098,    0
102176,19541202,10184,    0
102176,19541203,10224,    0
102176,19541204,10121,    0
102176,19541205,10065,    0
102176,19541206, 9975,    0
102176,19541207, 9914,    0
102176,19541208, 9900,    0
102176,19541209, 9807,    0
102176,19541210,10018,    0
102176,19541211,10095,    0
102176,19541212,10001,    0
102176,19541213, 9995,    0
102176,19541214,10101,    0
102176,19541215,10184,    0
102176,19541216,10310,    0
102176,19541217,10250,    0
102176,19541218,10232,    0
102176,19541219,10200,    0
102176,19541220,10112,    0
102176,19541221, 9984,    0
102176,19541222, 9887,    0
102176,19541223, 9770,    0
102176,19541224,10021,    0
102176,19541225,10095,    0
102176,19541226, 9991,    0
102176,19541227,10068,    0
102176,19541228,10124,    0
102176,19541229,10202,    0
102176,19541230,10290,    0
102176,19541231,10342,    0
102176,19550101,10357,    0
102176,19550102,10340,    0
102176,19550103,10304,    0
102176,19550104,10298,    0
102176,19550105,10279,    0
102176,19550106,10231,    0
102176,19550107,10173,    0
102176,19550108,10145,    0
102176,19550109,10117,    0
102176,19550110, 9931,    0
102176,19550111, 9878,    0
102176,19550112, 9925,    0
102176,19550113, 9960,    0
102176,19550114, 9960,    0
102176,19550115,10060,    0
102176,19550116, 9839,    0
102176,19550117, 9901,    0
102176,19550118, 9887,    0
102176,19550119,10034,    0
102176,19550120,10171,    0
102176,19550121,10154,    0
102176,19550122,10082,    0
102176,19550123,10235,    0
102176,19550124,10235,    0
102176,19550125,10198,    0
102176,19550126,10159,    0
102176,19550127,10133,    0
102176,19550128,10093,    0
102176,19550129,10098,    0
102176,19550130,10066,    0
102176,19550131,10052,    0
102176,19550201,10011,    0
