EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 20-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, HELGOLAND (STAID: 468).
Blended and updated with sources: 102174 910015 
See file sources.txt and stations.txt for more info.

SOUID,DATE,CC,Q_CC
102174,19521216,    7,    0
102174,19521217,    7,    0
102174,19521218,    6,    0
102174,19521219,    8,    0
102174,19521220,    8,    0
102174,19521221,    6,    0
102174,19521222,    4,    0
102174,19521223,    8,    0
102174,19521224,    8,    0
102174,19521225,    8,    0
102174,19521226,    7,    0
102174,19521227,    8,    0
102174,19521228,    7,    0
102174,19521229,    4,    0
102174,19521230,    6,    0
102174,19521231,    8,    0
102174,19530101,    8,    0
102174,19530102,    4,    0
102174,19530103,    7,    0
102174,19530104,    8,    0
102174,19530105,    8,    0
102174,19530106,    7,    0
102174,19530107,    5,    0
102174,19530108,    7,    0
102174,19530109,    6,    0
102174,19530110,    1,    0
102174,19530111,    8,    0
102174,19530112,    8,    0
102174,19530113,    8,    0
102174,19530114,    8,    0
102174,19530115,    8,    0
102174,19530116,    8,    0
102174,19530117,    8,    0
102174,19530118,    3,    0
102174,19530119,    6,    0
102174,19530120,    7,    0
102174,19530121,    7,    0
102174,19530122,    8,    0
102174,19530123,    8,    0
102174,19530124,    8,    0
102174,19530125,    8,    0
102174,19530126,    6,    0
102174,19530127,    8,    0
102174,19530128,    8,    0
102174,19530129,    5,    0
102174,19530130,    8,    0
102174,19530131,    8,    0
102174,19530201,    5,    0
102174,19530202,    8,    0
102174,19530203,    6,    0
102174,19530204,    7,    0
102174,19530205,    8,    0
102174,19530206,    8,    0
102174,19530207,    6,    0
102174,19530208,    4,    0
102174,19530209,    8,    0
102174,19530210,    8,    0
102174,19530211,    6,    0
102174,19530212,    8,    0
102174,19530213,    7,    0
102174,19530214,    7,    0
102174,19530215,    8,    0
102174,19530216,    8,    0
102174,19530217,    8,    0
102174,19530218,    8,    0
102174,19530219,    8,    0
102174,19530220,    8,    0
102174,19530221,    7,    0
102174,19530222,    5,    0
102174,19530223,    8,    0
102174,19530224,    5,    0
102174,19530225,    3,    0
102174,19530226,    2,    0
102174,19530227,    3,    0
102174,19530228,    7,    0
102174,19530301,    8,    0
102174,19530302,    8,    0
102174,19530303,    5,    0
102174,19530304,    6,    0
102174,19530305,    8,    0
102174,19530306,    8,    0
102174,19530307,    1,    0
102174,19530308,    3,    0
102174,19530309,    0,    0
102174,19530310,    5,    0
102174,19530311,    4,    0
102174,19530312,    5,    0
102174,19530313,    0,    0
102174,19530314,    5,    0
102174,19530315,    0,    0
102174,19530316,    1,    0
102174,19530317,    2,    0
102174,19530318,    3,    0
102174,19530319,    3,    0
102174,19530320,    3,    0
102174,19530321,    8,    0
102174,19530322,    8,    0
102174,19530323,    8,    0
102174,19530324,    6,    0
102174,19530325,    4,    0
102174,19530326,    1,    0
102174,19530327,    4,    0
102174,19530328,    7,    0
102174,19530329,    8,    0
102174,19530330,    8,    0
102174,19530331,    4,    0
102174,19530401,    7,    0
102174,19530402,    5,    0
102174,19530403,    8,    0
102174,19530404,    7,    0
102174,19530405,    7,    0
102174,19530406,    5,    0
102174,19530407,    5,    0
102174,19530408,    3,    0
102174,19530409,    4,    0
102174,19530410,    3,    0
102174,19530411,    6,    0
102174,19530412,    8,    0
102174,19530413,    3,    0
102174,19530414,    5,    0
102174,19530415,    7,    0
102174,19530416,    8,    0
102174,19530417,    5,    0
102174,19530418,    5,    0
102174,19530419,    4,    0
102174,19530420,    1,    0
102174,19530421,    0,    0
102174,19530422,    7,    0
102174,19530423,    1,    0
102174,19530424,    5,    0
102174,19530425,    6,    0
102174,19530426,    5,    0
102174,19530427,    8,    0
102174,19530428,    5,    0
102174,19530429,    5,    0
102174,19530430,    7,    0
102174,19530501,    5,    0
102174,19530502,    3,    0
102174,19530503,    1,    0
102174,19530504,    6,    0
102174,19530505,    8,    0
102174,19530506,    8,    0
102174,19530507,    5,    0
102174,19530508,    7,    0
102174,19530509,    6,    0
102174,19530510,    3,    0
102174,19530511,    7,    0
102174,19530512,    7,    0
102174,19530513,    2,    0
102174,19530514,    1,    0
102174,19530515,    8,    0
102174,19530516,    4,    0
102174,19530517,    3,    0
102174,19530518,    5,    0
102174,19530519,    6,    0
102174,19530520,    3,    0
102174,19530521,    4,    0
102174,19530522,    6,    0
102174,19530523,    7,    0
102174,19530524,    0,    0
102174,19530525,    1,    0
102174,19530526,    7,    0
102174,19530527,    7,    0
102174,19530528,    6,    0
102174,19530529,    7,    0
102174,19530530,    5,    0
102174,19530531,    4,    0
102174,19530601,    6,    0
102174,19530602,    7,    0
102174,19530603,    5,    0
102174,19530604,    7,    0
102174,19530605,    6,    0
102174,19530606,    5,    0
102174,19530607,    4,    0
102174,19530608,    5,    0
102174,19530609,    8,    0
102174,19530610,    8,    0
102174,19530611,    7,    0
102174,19530612,    8,    0
102174,19530613,    8,    0
102174,19530614,    6,    0
102174,19530615,    6,    0
102174,19530616,    7,    0
102174,19530617,    6,    0
102174,19530618,    6,    0
102174,19530619,    5,    0
102174,19530620,    6,    0
102174,19530621,    2,    0
102174,19530622,    4,    0
102174,19530623,    6,    0
102174,19530624,    1,    0
102174,19530625,    7,    0
102174,19530626,    5,    0
102174,19530627,    4,    0
102174,19530628,    0,    0
102174,19530629,    0,    0
102174,19530630,    0,    0
102174,19530701,    0,    0
102174,19530702,    1,    0
102174,19530703,    3,    0
102174,19530704,    5,    0
102174,19530705,    2,    0
102174,19530706,    8,    0
102174,19530707,    8,    0
102174,19530708,    3,    0
102174,19530709,    7,    0
102174,19530710,    2,    0
102174,19530711,    1,    0
102174,19530712,    6,    0
102174,19530713,    6,    0
102174,19530714,    7,    0
102174,19530715,    5,    0
102174,19530716,    3,    0
102174,19530717,    6,    0
102174,19530718,    6,    0
102174,19530719,    5,    0
102174,19530720,    7,    0
102174,19530721,    6,    0
102174,19530722,    8,    0
102174,19530723,    4,    0
102174,19530724,    2,    0
102174,19530725,    0,    0
102174,19530726,    5,    0
102174,19530727,    5,    0
102174,19530728,    4,    0
102174,19530729,    4,    0
102174,19530730,    5,    0
102174,19530731,    4,    0
102174,19530801,    4,    0
102174,19530802,    6,    0
102174,19530803,    4,    0
102174,19530804,    6,    0
102174,19530805,    7,    0
102174,19530806,    7,    0
102174,19530807,    7,    0
102174,19530808,    5,    0
102174,19530809,    2,    0
102174,19530810,    3,    0
102174,19530811,    1,    0
102174,19530812,    2,    0
102174,19530813,    2,    0
102174,19530814,    3,    0
102174,19530815,    2,    0
102174,19530816,    6,    0
102174,19530817,    4,    0
102174,19530818,    6,    0
102174,19530819,    5,    0
102174,19530820,    6,    0
102174,19530821,    8,    0
102174,19530822,    5,    0
102174,19530823,    5,    0
102174,19530824,    6,    0
102174,19530825,    6,    0
102174,19530826,    3,    0
102174,19530827,    3,    0
102174,19530828,    7,    0
102174,19530829,    7,    0
102174,19530830,    7,    0
102174,19530831,    5,    0
102174,19530901,    5,    0
102174,19530902,    4,    0
102174,19530903,    6,    0
102174,19530904,    5,    0
102174,19530905,    4,    0
102174,19530906,    1,    0
102174,19530907,    0,    0
102174,19530908,    3,    0
102174,19530909,    8,    0
102174,19530910,    5,    0
102174,19530911,    7,    0
102174,19530912,    5,    0
102174,19530913,    3,    0
102174,19530914,    1,    0
102174,19530915,    1,    0
102174,19530916,    1,    0
102174,19530917,    6,    0
102174,19530918,    5,    0
102174,19530919,    4,    0
102174,19530920,    7,    0
102174,19530921,    7,    0
102174,19530922,    8,    0
102174,19530923,    7,    0
102174,19530924,    3,    0
102174,19530925,    4,    0
102174,19530926,    4,    0
102174,19530927,    2,    0
102174,19530928,    6,    0
102174,19530929,    3,    0
102174,19530930,    8,    0
102174,19531001,    6,    0
102174,19531002,    8,    0
102174,19531003,    7,    0
102174,19531004,    4,    0
102174,19531005,    6,    0
102174,19531006,    5,    0
102174,19531007,    2,    0
102174,19531008,    6,    0
102174,19531009,    7,    0
102174,19531010,    6,    0
102174,19531011,    3,    0
102174,19531012,    0,    0
102174,19531013,    5,    0
102174,19531014,    8,    0
102174,19531015,    8,    0
102174,19531016,    6,    0
102174,19531017,    8,    0
102174,19531018,    7,    0
102174,19531019,    8,    0
102174,19531020,    8,    0
102174,19531021,    8,    0
102174,19531022,    6,    0
102174,19531023,    7,    0
102174,19531024,    7,    0
102174,19531025,    7,    0
102174,19531026,    8,    0
102174,19531027,    5,    0
102174,19531028,    6,    0
102174,19531029,    8,    0
102174,19531030,    7,    0
102174,19531031,    3,    0
102174,19531101,    5,    0
102174,19531102,    6,    0
102174,19531103,    4,    0
102174,19531104,    4,    0
102174,19531105,    5,    0
102174,19531106,    5,    0
102174,19531107,    7,    0
102174,19531108,    6,    0
102174,19531109,    8,    0
102174,19531110,    3,    0
102174,19531111,    8,    0
102174,19531112,    8,    0
102174,19531113,    5,    0
102174,19531114,    8,    0
102174,19531115,    8,    0
102174,19531116,    8,    0
102174,19531117,    8,    0
102174,19531118,    7,    0
102174,19531119,    7,    0
102174,19531120,    8,    0
102174,19531121,    8,    0
102174,19531122,    8,    0
102174,19531123,    5,    0
102174,19531124,    4,    0
102174,19531125,    7,    0
102174,19531126,    8,    0
102174,19531127,    5,    0
102174,19531128,    8,    0
102174,19531129,    8,    0
102174,19531130,    8,    0
102174,19531201,    7,    0
102174,19531202,    6,    0
102174,19531203,    7,    0
102174,19531204,    6,    0
102174,19531205,    2,    0
102174,19531206,    2,    0
102174,19531207,    6,    0
102174,19531208,    8,    0
102174,19531209,    8,    0
102174,19531210,    4,    0
102174,19531211,    8,    0
102174,19531212,    8,    0
102174,19531213,    5,    0
102174,19531214,    7,    0
102174,19531215,    8,    0
102174,19531216,    4,    0
102174,19531217,    7,    0
102174,19531218,    8,    0
102174,19531219,    8,    0
102174,19531220,    6,    0
102174,19531221,    8,    0
102174,19531222,    8,    0
102174,19531223,    6,    0
102174,19531224,    6,    0
102174,19531225,    5,    0
102174,19531226,    5,    0
102174,19531227,    3,    0
102174,19531228,    6,    0
102174,19531229,    1,    0
102174,19531230,    4,    0
102174,19531231,    6,    0
102174,19540101,    7,    0
102174,19540102,    8,    0
102174,19540103,    7,    0
102174,19540104,    8,    0
102174,19540105,    1,    0
102174,19540106,    8,    0
102174,19540107,    3,    0
102174,19540108,    2,    0
102174,19540109,    7,    0
102174,19540110,    6,    0
102174,19540111,    8,    0
102174,19540112,    8,    0
102174,19540113,    8,    0
102174,19540114,    5,    0
102174,19540115,    7,    0
102174,19540116,    6,    0
102174,19540117,    4,    0
102174,19540118,    3,    0
102174,19540119,    8,    0
102174,19540120,    5,    0
102174,19540121,    4,    0
102174,19540122,    8,    0
102174,19540123,    0,    0
102174,19540124,    4,    0
102174,19540125,    3,    0
102174,19540126,    3,    0
102174,19540127,    3,    0
102174,19540128,    1,    0
102174,19540129,    6,    0
102174,19540130,    6,    0
102174,19540131,    6,    0
102174,19540201,    0,    0
102174,19540202,    3,    0
102174,19540203,    1,    0
102174,19540204,    0,    0
102174,19540205,    1,    0
102174,19540206,    2,    0
102174,19540207,    1,    0
102174,19540208,    8,    0
102174,19540209,    8,    0
102174,19540210,    6,    0
102174,19540211,    8,    0
102174,19540212,    8,    0
102174,19540213,    8,    0
102174,19540214,    8,    0
102174,19540215,    8,    0
102174,19540216,    6,    0
102174,19540217,    6,    0
102174,19540218,    8,    0
102174,19540219,    8,    0
102174,19540220,    5,    0
102174,19540221,    2,    0
102174,19540222,    8,    0
102174,19540223,    8,    0
102174,19540224,    8,    0
102174,19540225,    7,    0
102174,19540226,    7,    0
102174,19540227,    6,    0
102174,19540228,    6,    0
102174,19540301,    6,    0
102174,19540302,    7,    0
102174,19540303,    8,    0
102174,19540304,    8,    0
102174,19540305,    6,    0
102174,19540306,    8,    0
102174,19540307,    8,    0
102174,19540308,    8,    0
102174,19540309,    4,    0
102174,19540310,    3,    0
102174,19540311,    5,    0
102174,19540312,    8,    0
102174,19540313,    8,    0
102174,19540314,    8,    0
102174,19540315,    8,    0
102174,19540316,    8,    0
102174,19540317,    8,    0
102174,19540318,    8,    0
102174,19540319,    8,    0
102174,19540320,    7,    0
102174,19540321,    5,    0
102174,19540322,    6,    0
102174,19540323,    4,    0
102174,19540324,    6,    0
102174,19540325,    7,    0
102174,19540326,    8,    0
102174,19540327,    3,    0
102174,19540328,    8,    0
102174,19540329,    7,    0
102174,19540330,    5,    0
102174,19540331,    4,    0
102174,19540401,    3,    0
102174,19540402,    6,    0
102174,19540403,    8,    0
102174,19540404,    5,    0
102174,19540405,    0,    0
102174,19540406,    3,    0
102174,19540407,    4,    0
102174,19540408,    1,    0
102174,19540409,    3,    0
102174,19540410,    0,    0
102174,19540411,    1,    0
102174,19540412,    7,    0
102174,19540413,    8,    0
102174,19540414,    8,    0
102174,19540415,    1,    0
102174,19540416,    0,    0
102174,19540417,    1,    0
102174,19540418,    5,    0
102174,19540419,    7,    0
102174,19540420,    8,    0
102174,19540421,    2,    0
102174,19540422,    5,    0
102174,19540423,    2,    0
102174,19540424,    3,    0
102174,19540425,    5,    0
102174,19540426,    0,    0
102174,19540427,    2,    0
102174,19540428,    5,    0
102174,19540429,    7,    0
102174,19540430,    7,    0
102174,19540501,    5,    0
102174,19540502,    7,    0
102174,19540503,    3,    0
102174,19540504,    6,    0
102174,19540505,    7,    0
102174,19540506,    6,    0
102174,19540507,    4,    0
102174,19540508,    0,    0
102174,19540509,    0,    0
102174,19540510,    1,    0
102174,19540511,    0,    0
102174,19540512,    1,    0
102174,19540513,    3,    0
102174,19540514,    7,    0
102174,19540515,    8,    0
102174,19540516,    8,    0
102174,19540517,    6,    0
102174,19540518,    2,    0
102174,19540519,    8,    0
102174,19540520,    8,    0
102174,19540521,    8,    0
102174,19540522,    3,    0
102174,19540523,    2,    0
102174,19540524,    7,    0
102174,19540525,    2,    0
102174,19540526,    6,    0
102174,19540527,    1,    0
102174,19540528,    1,    0
102174,19540529,    1,    0
102174,19540530,    2,    0
102174,19540531,    7,    0
102174,19540601,    3,    0
102174,19540602,    3,    0
102174,19540603,    1,    0
102174,19540604,    4,    0
102174,19540605,    1,    0
102174,19540606,    4,    0
102174,19540607,    5,    0
102174,19540608,    7,    0
102174,19540609,    5,    0
102174,19540610,    4,    0
102174,19540611,    3,    0
102174,19540612,    3,    0
102174,19540613,    8,    0
102174,19540614,    6,    0
102174,19540615,    1,    0
102174,19540616,    4,    0
102174,19540617,    2,    0
102174,19540618,    6,    0
102174,19540619,    2,    0
102174,19540620,    6,    0
102174,19540621,    6,    0
102174,19540622,    6,    0
102174,19540623,    5,    0
102174,19540624,    7,    0
102174,19540625,    8,    0
102174,19540626,    5,    0
102174,19540627,    6,    0
102174,19540628,    8,    0
102174,19540629,    6,    0
102174,19540630,    2,    0
102174,19540701,    3,    0
102174,19540702,    5,    0
102174,19540703,    8,    0
102174,19540704,    3,    0
102174,19540705,    4,    0
102174,19540706,    7,    0
102174,19540707,    6,    0
102174,19540708,    2,    0
102174,19540709,    2,    0
102174,19540710,    8,    0
102174,19540711,    8,    0
102174,19540712,    8,    0
102174,19540713,    8,    0
102174,19540714,    8,    0
102174,19540715,    6,    0
102174,19540716,    7,    0
102174,19540717,    8,    0
102174,19540718,    8,    0
102174,19540719,    8,    0
102174,19540720,    7,    0
102174,19540721,    5,    0
102174,19540722,    7,    0
102174,19540723,    4,    0
102174,19540724,    8,    0
102174,19540725,    8,    0
102174,19540726,    7,    0
102174,19540727,    4,    0
102174,19540728,    8,    0
102174,19540729,    6,    0
102174,19540730,    7,    0
102174,19540731,    7,    0
102174,19540801,    5,    0
102174,19540802,    7,    0
102174,19540803,    8,    0
102174,19540804,    5,    0
102174,19540805,    6,    0
102174,19540806,    6,    0
102174,19540807,    6,    0
102174,19540808,    6,    0
102174,19540809,    5,    0
102174,19540810,    7,    0
102174,19540811,    7,    0
102174,19540812,    6,    0
102174,19540813,    4,    0
102174,19540814,    7,    0
102174,19540815,    8,    0
102174,19540816,    4,    0
102174,19540817,    2,    0
102174,19540818,    6,    0
102174,19540819,    6,    0
102174,19540820,    5,    0
102174,19540821,    8,    0
102174,19540822,    8,    0
102174,19540823,    8,    0
102174,19540824,    6,    0
102174,19540825,    1,    0
102174,19540826,    0,    0
102174,19540827,    1,    0
102174,19540828,    4,    0
102174,19540829,    8,    0
102174,19540830,    5,    0
102174,19540831,    8,    0
102174,19540901,    2,    0
102174,19540902,    2,    0
102174,19540903,    6,    0
102174,19540904,    5,    0
102174,19540905,    5,    0
102174,19540906,    6,    0
102174,19540907,    6,    0
102174,19540908,    3,    0
102174,19540909,    6,    0
102174,19540910,    6,    0
102174,19540911,    6,    0
102174,19540912,    5,    0
102174,19540913,    6,    0
102174,19540914,    4,    0
102174,19540915,    7,    0
102174,19540916,    6,    0
102174,19540917,    5,    0
102174,19540918,    5,    0
102174,19540919,    5,    0
102174,19540920,    7,    0
102174,19540921,    7,    0
102174,19540922,    6,    0
102174,19540923,    5,    0
102174,19540924,    8,    0
102174,19540925,    7,    0
102174,19540926,    5,    0
102174,19540927,    4,    0
102174,19540928,    8,    0
102174,19540929,    6,    0
102174,19540930,    7,    0
102174,19541001,    7,    0
102174,19541002,    8,    0
102174,19541003,    3,    0
102174,19541004,    6,    0
102174,19541005,    8,    0
102174,19541006,    8,    0
102174,19541007,    4,    0
102174,19541008,    8,    0
102174,19541009,    4,    0
102174,19541010,    6,    0
102174,19541011,    4,    0
102174,19541012,    6,    0
102174,19541013,    8,    0
102174,19541014,    8,    0
102174,19541015,    8,    0
102174,19541016,    8,    0
102174,19541017,    8,    0
102174,19541018,    8,    0
102174,19541019,    7,    0
102174,19541020,    7,    0
102174,19541021,    6,    0
102174,19541022,    8,    0
102174,19541023,    7,    0
102174,19541024,    8,    0
102174,19541025,    6,    0
102174,19541026,    5,    0
102174,19541027,    8,    0
102174,19541028,    3,    0
102174,19541029,    8,    0
102174,19541030,    6,    0
102174,19541031,    6,    0
102174,19541101,    7,    0
102174,19541102,    6,    0
102174,19541103,    5,    0
102174,19541104,    5,    0
102174,19541105,    6,    0
102174,19541106,    8,    0
102174,19541107,    7,    0
102174,19541108,    6,    0
102174,19541109,    6,    0
102174,19541110,    6,    0
102174,19541111,    6,    0
102174,19541112,    6,    0
102174,19541113,    5,    0
102174,19541114,    4,    0
102174,19541115,    3,    0
102174,19541116,    8,    0
102174,19541117,    8,    0
102174,19541118,    4,    0
102174,19541119,    7,    0
102174,19541120,    7,    0
102174,19541121,    6,    0
102174,19541122,    7,    0
102174,19541123,    8,    0
102174,19541124,    5,    0
102174,19541125,    7,    0
102174,19541126,    6,    0
102174,19541127,    2,    0
102174,19541128,    6,    0
102174,19541129,    7,    0
102174,19541130,    6,    0
102174,19541201,    2,    0
102174,19541202,    8,    0
102174,19541203,    3,    0
102174,19541204,    8,    0
102174,19541205,    6,    0
102174,19541206,    5,    0
102174,19541207,    4,    0
102174,19541208,    7,    0
102174,19541209,    8,    0
102174,19541210,    1,    0
102174,19541211,    6,    0
102174,19541212,    7,    0
102174,19541213,    5,    0
102174,19541214,    5,    0
102174,19541215,    3,    0
102174,19541216,    7,    0
102174,19541217,    5,    0
102174,19541218,    7,    0
102174,19541219,    8,    0
102174,19541220,    7,    0
102174,19541221,    6,    0
102174,19541222,    3,    0
102174,19541223,    6,    0
102174,19541224,    4,    0
102174,19541225,    5,    0
102174,19541226,    7,    0
102174,19541227,    7,    0
102174,19541228,    8,    0
102174,19541229,    6,    0
102174,19541230,    8,    0
102174,19541231,    6,    0
102174,19550101,    8,    0
102174,19550102,    8,    0
102174,19550103,    8,    0
102174,19550104,    8,    0
102174,19550105,    3,    0
102174,19550106,    5,    0
102174,19550107,    7,    0
102174,19550108,    8,    0
102174,19550109,    8,    0
102174,19550110,    8,    0
102174,19550111,    6,    0
102174,19550112,    6,    0
102174,19550113,    8,    0
102174,19550114,    3,    0
102174,19550115,    8,    0
102174,19550116,    8,    0
102174,19550117,    3,    0
102174,19550118,    4,    0
102174,19550119,    6,    0
102174,19550120,    3,    0
102174,19550121,    3,    0
102174,19550122,    7,    0
102174,19550123,    4,    0
102174,19550124,    8,    0
102174,19550125,    8,    0
102174,19550126,    8,    0
102174,19550127,    7,    0
102174,19550128,    6,    0
102174,19550129,    2,    0
102174,19550130,    7,    0
102174,19550131,    8,    0
102174,19550201,    7,    0
102174,19550202,    8,    0
102174,19550203,    6,    0
102174,19550204,    8,    0
102174,19550205,    8,    0
102174,19550206,    5,    0
102174,19550207,    8,    0
102174,19550208,    8,    0
